Puan,Yorum
"5,0","Hayatımda en çok içimi acıtan ağlata ağlata yüreğimi parçalayan mükemmel bir film. Filmi izlemeden önce yanınıza iki paket peçete alın , ağlamadan izlenmiyor"
"5,0","Şimdiye kadar Salya sümük ağladığım tek film tebrikler  sana ayrıca tebrikler Aras Bulut
spoiler:"
"5,0",Anlamadığım su yok ordan calinmis yok ona benziyor arkadaşım herseyi bir kenara birak ortada bir emek var o filmi izledin diye bunu ezmeye neden gayret gösteriyorsun bugüne kadar bir cok film dizi orjinallerden uyarlandi adam bu filmin senaristi benim demiyor hakları satın alınan bir senaryo sadece yok çalma yok benzetilmis oyle bir sey değil bu gidin izleyin görün kim nasıl iş cikarmis neleri benziyor veya benzemiyor görün sonra gelip yorumunuzu tekrar yapın.
"5,0","Filmi dün izledim. Gitmeden önce hiçbir tavsiye almadım ve yorum da okumadım. Bu nedenle filme tam manasıyla kendimi vererek izledim. Her saniyesini ve detaylarını atlamadan izledim.Film öncelikle gerçek manada muhteşem ötesi. Evet film bir uyarlama bunu filmin yapımcıları da söylüyor zaten. Bir film uyarlama olabilir ama önemli olan onun nasıl çekildiği, filmdeki oyunculuklar... Bu film benim gözümde Türk Drama tarihine damga vurabilecek düzeyde hatta tek diyebilirim. Film dram olsa bile araya sıkıştırılmış mizah dolu sahneleri ile sizleri hem ağlamaklı hem de gülmekli bir hale sokuyor. Ama film genel anlamda ağlamadan izleyemeyeceğiniz bir film. Akli dengesi olmayan bir babanın kızına olan bağı o kadar çok güzel işlenmiş ki insanın yüreğine işliyor...""Bu filme gitsem ağlar mıyım?"" diye sormayın. Eğer yüreğiniz taş bağlamadıysa ve gerçekten yüreğinizde sevgi kırıntısı kaldıysa ağlamamak imkansız. Ben filmin genelinde kendimi sıktım ağlamamak için. Ama dayanamayıp hıçkıra hıçkıra ağlayanlara şahit oldu kulaklarım. İnsanın içinde hapsolmuş duyguları ortaya çıkarıyor film. Hani o unuttuğumuz evlat sevgisi, bağlılığı ve onun için yapılan çabaları...Filme kesinlikle ön yargılı gitmeyin. Çünkü gittiğinizde kesinlikle bu ön yargılarınıza kızabilirsiniz. Zira filmde kullanılan efektler, mekan, görsellik ve en önemlisi de oyunculuk çok başarılı...Ben bu filmde Aras Bulut'un oyunculuğuna hayran kaldım. Hani onu tanımasam gerçekten akli dengesi olmayan bir insan sanabilirdim. Rolüne o kadar adapte olmuş ki oynamıyor onu yaşıyordu adeta...Aras Bulut bence bu senenin en iyi erkek oyuncusu olacak ve bu film de en iyi film seçilecek. Bu filmde diğer dikkatimi çeken şeyler ise tüm oyuncular gerçekten harikaydı. Aras'ın küçük kızı Ova karakterinden tutun da diğer oyuncular gerçekten harika oynamış. İşte tam da bu nedenle bu film ruhunuza işliyor.Bu filme emeği geçen herkese teşekkür ederim. Bu filme gitmediyseniz bence abuk sabuk filmler yerine bu filme gidin destek olun..."
"4,5","Filmi ağlayarak mı izlemek ,az kalan bir cümle,içiniz acıyacak,kalbiniz sızlayacak. Aras Bulut'u daha önceden bilmesek gerçek zeka geriliği olan biri sanırsınız,mükemmel oynamış,mükemmel.O zamanları yaşayanlar az çok bu filmden daha çok etkilenir bence.Oyunculuk harika,ve sonu adı gibi mucize."
"5,0","Sinemamızın güzel günler göreceğine işaret eden, gülümseten, ağlatan duygu dolu bir film. Emek veren herkese teşekkürler."
"5,0","İzlediğim en iyi dram filmlerinden biriydi. Uyarlama olsa da oyuncular mükemmel bir performans sergilemiş ve oyuncu kadrosu çok iyi olan bir film bunlar göz ardı edilmemeli. Ayrıca filmde kullanılan müziklerde film kadar güzeldi. Oyunculuk, müzikler herşey mükemmeldi onun için 5/5"
"5,0","Eğer Yeşil yol, Mucize gibi buna benzer filmleri izlemediyseniz özgün bir film der hayran kalırsınız. İzlediyseniz bu ne ya aynı konu der geçersiniz. Neden hala milletin yorumunu okuyorsunuz? Filmi her izleyen kendi yorumunu yapar. Başkasının yorumlarından etkilenmeyin. İzlemeden o yorumun haklı olduğunu bilemezsiniz. Gidin ve izleyin. Senaryo özgün olmayabilir ki o kadar özgün olması beklenemez, çok film izleyen biriyseniz illa ki başka bir filmden çağrışım yapacaksınız. İşleniş olarak harika. Karakterler harika. Görsel efektler harika. İnanılmaz bir duygu yoğunluğu var. Bazı yerlerde sinemadaki herkes ile birlikte kahkaha atıyorsunuz. Bu duyguları yaşamak bile harika..Bir şans verin derim"
"5,0","10 yıldız olsa 10 yıldız verirdim. Ben böyle bir şey görmedim. Bu kadar iyi bu kadar super bir film daha başka nasıl olabilir. Böylesine bir oyunculuk böylesine bir kabiliyet. Tamam bulut aras iynemliyi biliyoruz. İyi oyuncu olduğunu  biliyorduk zaten. Ama bu filmde insan üstü bir role bürünmüş. Oyuncuları efendisin diyebiliriz. Eğer bu adam en iyi oyuncu ödülünü almazsa bilinizki ödül töreni satılmıştır. Verilen ödüller satılmıştır. Organizasyon satılmıştır. Sen ne harika bir oyuncusun, ayakta alkışlıyorum seni. Konunun isleyisi bu kadar mı super olur, film genel olarak ta çok çok iyi islenmis. yönetmeni de ayakta alkışlıyorum. Çok iyi ya gerçekten cok iyi bir film."
"5,0",Bir film ne kadar muhteşem olabilir diye düşünürdüm bu filmi izlemeden önce. O kadar iyi bir film olmuş.
