Puan,Yorum,label,clean_text,question_count,upper_ratio,avg_word,positive_count,negation_count,exclamation_count,char_count
"5,0","Hayatımda en çok içimi acıtan ağlata ağlata yüreğimi parçalayan mükemmel bir film. Filmi izlemeden önce yanınıza iki paket peçete alın , ağlamadan izlenmiyor",1,hayatımda içimi acıtan ağlata ağlata yüreğimi parçalayan mükemmel bir film filmi izlemeden önce yanınıza iki paket peçete alın ağlamadan izlenmiyor,0,0.012738853503184714,5.869565217391305,2,0,0,157
"5,0","Şimdiye kadar Salya sümük ağladığım tek film tebrikler  sana ayrıca tebrikler Aras Bulut
spoiler:",1,şimdiye kadar salya sümük ağladığım tek film tebrikler sana ayrıca tebrikler ara bulut spoiler,0,0.041237113402061855,5.928571428571429,0,0,0,97
"5,0",Anlamadığım su yok ordan calinmis yok ona benziyor arkadaşım herseyi bir kenara birak ortada bir emek var o filmi izledin diye bunu ezmeye neden gayret gösteriyorsun bugüne kadar bir cok film dizi orjinallerden uyarlandi adam bu filmin senaristi benim demiyor hakları satın alınan bir senaryo sadece yok çalma yok benzetilmis oyle bir sey değil bu gidin izleyin görün kim nasıl iş cikarmis neleri benziyor veya benzemiyor görün sonra gelip yorumunuzu tekrar yapın.,1,anlamadığım su yok ordan calinmis yok ona benziyor arkadaşım herseyi bir kenara birak ortada bir emek var filmi izledin bunu ezmeye gayret gösteriyorsun bugüne kadar bir cok film dizi orjinallerden uyarlandi adam filmin senaristi benim demiyor hakları satın alınan bir senaryo sadece yok çalma yok benzetilmis oyle bir sey değil gidin izleyin görün iş cikarmis neleri benziyor benzemiyor görün sonra gelip yorumunuzu tekrar yapın,0,0.0021551724137931034,5.458333333333333,0,5,0,464
"5,0","Filmi dün izledim. Gitmeden önce hiçbir tavsiye almadım ve yorum da okumadım. Bu nedenle filme tam manasıyla kendimi vererek izledim. Her saniyesini ve detaylarını atlamadan izledim.Film öncelikle gerçek manada muhteşem ötesi. Evet film bir uyarlama bunu filmin yapımcıları da söylüyor zaten. Bir film uyarlama olabilir ama önemli olan onun nasıl çekildiği, filmdeki oyunculuklar... Bu film benim gözümde Türk Drama tarihine damga vurabilecek düzeyde hatta tek diyebilirim. Film dram olsa bile araya sıkıştırılmış mizah dolu sahneleri ile sizleri hem ağlamaklı hem de gülmekli bir hale sokuyor. Ama film genel anlamda ağlamadan izleyemeyeceğiniz bir film. Akli dengesi olmayan bir babanın kızına olan bağı o kadar çok güzel işlenmiş ki insanın yüreğine işliyor...""Bu filme gitsem ağlar mıyım?"" diye sormayın. Eğer yüreğiniz taş bağlamadıysa ve gerçekten yüreğinizde sevgi kırıntısı kaldıysa ağlamamak imkansız. Ben filmin genelinde kendimi sıktım ağlamamak için. Ama dayanamayıp hıçkıra hıçkıra ağlayanlara şahit oldu kulaklarım. İnsanın içinde hapsolmuş duyguları ortaya çıkarıyor film. Hani o unuttuğumuz evlat sevgisi, bağlılığı ve onun için yapılan çabaları...Filme kesinlikle ön yargılı gitmeyin. Çünkü gittiğinizde kesinlikle bu ön yargılarınıza kızabilirsiniz. Zira filmde kullanılan efektler, mekan, görsellik ve en önemlisi de oyunculuk çok başarılı...Ben bu filmde Aras Bulut'un oyunculuğuna hayran kaldım. Hani onu tanımasam gerçekten akli dengesi olmayan bir insan sanabilirdim. Rolüne o kadar adapte olmuş ki oynamıyor onu yaşıyordu adeta...Aras Bulut bence bu senenin en iyi erkek oyuncusu olacak ve bu film de en iyi film seçilecek. Bu filmde diğer dikkatimi çeken şeyler ise tüm oyuncular gerçekten harikaydı. Aras'ın küçük kızı Ova karakterinden tutun da diğer oyuncular gerçekten harika oynamış. İşte tam da bu nedenle bu film ruhunuza işliyor.Bu filme emeği geçen herkese teşekkür ederim. Bu filme gitmediyseniz bence abuk sabuk filmler yerine bu filme gidin destek olun...",1,filmi dün izledim gitmeden önce hiçbir tavsiye almadım yorum okumadım nedenle filme tam manasıyla kendimi vererek izledim saniyesini detaylarını atlamadan izledimfilm öncelikle gerçek manada muhteşem ötesi evet film bir uyarlama bunu filmin yapımcıları söylüyor zaten bir film uyarlama olabilir önemli olan onun çekildiği filmdeki oyunculuklar film benim gözümde türk drama tarihine damga vurabilecek düzeyde hatta tek diyebilirim film dram olsa bile araya sıkıştırılmış mizah dolu sahneleri sizleri ağlamaklı gülmekli bir hale sokuyor film genel anlamda ağlamadan izleyemeyeceğiniz bir film akli dengesi olmayan bir babanın kızına olan bağı kadar güzel işlenmiş insanın yüreğine işliyorbu filme gitsem ağlar mıyım sormayın yüreğiniz taş bağlamadıysa gerçekten yüreğinizde sevgi kırıntısı kaldıysa ağlamamak imkansız ben filmin genelinde kendimi sıktım ağlamamak dayanamayıp hıçkıra hıçkıra ağlayanlara şahit oldu kulaklarım i̇nsanın içinde hapsolmuş duyguları ortaya çıkarıyor film hani unuttuğumuz evlat sevgisi bağlılığı onun yapılan çabalarıfilme kesinlikle ön yargılı gitmeyin gittiğinizde kesinlikle ön yargılarınıza kızabilirsiniz zira filmde kullanılan efektler mekan görsellik önemlisi oyunculuk başarılıben filmde ara bulutun oyunculuğuna hayran kaldım hani onu tanımasam gerçekten akli dengesi olmayan bir insan sanabilirdim rolüne kadar adapte olmuş oynamıyor onu yaşıyordu adetaaras bulut bence senenin iyi erkek oyuncusu olacak film iyi film seçilecek filmde diğer dikkatimi çeken şeyler oyuncular gerçekten harikaydı arasın küçük kızı ovum karakterinden tutun diğer oyuncular gerçekten harika oynamış i̇şte tam nedenle film ruhunuza işliyorbu filme emeği geçen herkese teşekkür ederim filme gitmediyseniz bence abuk sabuk filmler yerine filme gidin destek olun,1,0.017570281124497992,6.117857142857143,5,0,0,1992
"4,5","Filmi ağlayarak mı izlemek ,az kalan bir cümle,içiniz acıyacak,kalbiniz sızlayacak. Aras Bulut'u daha önceden bilmesek gerçek zeka geriliği olan biri sanırsınız,mükemmel oynamış,mükemmel.O zamanları yaşayanlar az çok bu filmden daha çok etkilenir bence.Oyunculuk harika,ve sonu adı gibi mucize.",1,filmi ağlayarak izlemek kalan bir cümleiçiniz acıyacakkalbiniz sızlayacak ara bulutu önceden bilmesek gerçek zeka geriliği olan sanırsınızmükemmel oynamışmükemmelo zamanları yaşayanlar filmden etkilenir benceoyunculuk harikave sonu adı mucize,0,0.017006802721088437,6.972972972972973,2,0,0,294
"5,0","Sinemamızın güzel günler göreceğine işaret eden, gülümseten, ağlatan duygu dolu bir film. Emek veren herkese teşekkürler.",1,sinemamızın güzel günler göreceğine işaret eden gülümseten ağlatan duygu dolu bir film emek veren herkese teşekkürler,0,0.01652892561983471,6.625,1,0,0,121
"5,0","İzlediğim en iyi dram filmlerinden biriydi. Uyarlama olsa da oyuncular mükemmel bir performans sergilemiş ve oyuncu kadrosu çok iyi olan bir film bunlar göz ardı edilmemeli. Ayrıca filmde kullanılan müziklerde film kadar güzeldi. Oyunculuk, müzikler herşey mükemmeldi onun için 5/5",1,i̇zlediğim iyi dram filmlerinden biriydi uyarlama olsa oyuncular mükemmel bir performans sergilemiş oyuncu kadrosu iyi olan bir film bunlar göz ardı edilmemeli ayrıca filmde kullanılan müziklerde film kadar güzeldi oyunculuk müzikler herşey mükemmeldi onun,0,0.014234875444839857,6.05,4,0,0,281
"5,0","Eğer Yeşil yol, Mucize gibi buna benzer filmleri izlemediyseniz özgün bir film der hayran kalırsınız. İzlediyseniz bu ne ya aynı konu der geçersiniz. Neden hala milletin yorumunu okuyorsunuz? Filmi her izleyen kendi yorumunu yapar. Başkasının yorumlarından etkilenmeyin. İzlemeden o yorumun haklı olduğunu bilemezsiniz. Gidin ve izleyin. Senaryo özgün olmayabilir ki o kadar özgün olması beklenemez, çok film izleyen biriyseniz illa ki başka bir filmden çağrışım yapacaksınız. İşleniş olarak harika. Karakterler harika. Görsel efektler harika. İnanılmaz bir duygu yoğunluğu var. Bazı yerlerde sinemadaki herkes ile birlikte kahkaha atıyorsunuz. Bu duyguları yaşamak bile harika..Bir şans verin derim",1,yeşil yol mucize buna benzer filmleri izlemediyseniz özgün bir film der hayran kalırsınız i̇zlediyseniz aynı konu der geçersiniz hala milletin yorumunu okuyorsunuz filmi izleyen kendi yorumunu yapar başkasının yorumlarından etkilenmeyin i̇zlemeden yorumun haklı olduğunu bilemezsiniz gidin izleyin senaryo özgün olmayabilir kadar özgün olması beklenemez film izleyen biriyseniz illa başka bir filmden çağrışım yapacaksınız i̇şleniş olarak harika karakterler harika görsel efektler harika i̇nanılmaz bir duygu yoğunluğu var yerlerde sinemadaki herkes birlikte kahkaha atıyorsunuz duyguları yaşamak bile harikabir şans verin derim,1,0.024320457796852647,6.368421052631579,1,0,0,699
"5,0","10 yıldız olsa 10 yıldız verirdim. Ben böyle bir şey görmedim. Bu kadar iyi bu kadar super bir film daha başka nasıl olabilir. Böylesine bir oyunculuk böylesine bir kabiliyet. Tamam bulut aras iynemliyi biliyoruz. İyi oyuncu olduğunu  biliyorduk zaten. Ama bu filmde insan üstü bir role bürünmüş. Oyuncuları efendisin diyebiliriz. Eğer bu adam en iyi oyuncu ödülünü almazsa bilinizki ödül töreni satılmıştır. Verilen ödüller satılmıştır. Organizasyon satılmıştır. Sen ne harika bir oyuncusun, ayakta alkışlıyorum seni. Konunun isleyisi bu kadar mı super olur, film genel olarak ta çok çok iyi islenmis. yönetmeni de ayakta alkışlıyorum. Çok iyi ya gerçekten cok iyi bir film.",1,yıldız olsa yıldız verirdim ben böyle bir görmedim kadar iyi kadar super bir film başka olabilir böylesine bir oyunculuk böylesine bir kabiliyet tamam bulut ara iynemliyi biliyoruz i̇yi oyuncu olduğunu biliyorduk zaten filmde insan üstü bir role bürünmüş oyuncuları efendisin diyebiliriz adam iyi oyuncu ödülünü almazsa bilinizki ödül töreni satılmıştır verilen ödüller satılmıştır organizasyon satılmıştır sen harika bir oyuncusun ayakta alkışlıyorum seni konunun isleyisi kadar super olur film genel olarak ta iyi islenmis yönetmeni ayakta alkışlıyorum iyi gerçekten cok iyi bir film,0,0.01925925925925926,5.617647058823529,8,0,0,675
"5,0",Bir film ne kadar muhteşem olabilir diye düşünürdüm bu filmi izlemeden önce. O kadar iyi bir film olmuş.,1,bir film kadar muhteşem olabilir düşünürdüm filmi izlemeden önce kadar iyi bir film olmuş,0,0.019230769230769232,4.833333333333333,1,0,0,104
